Protocol,Domain,Path,Having_IP,URL_Length,Having_@_symbol,Redirection_//_symbol,Prefix_suffix_separation,Sub_domains,tiny_url,web_traffic,domain_registration_length,dns_record,statistical_report,age_domain,http_tokens,label
http,lets2020vision.co.uk,/aws/deactivation/cmd-login=e1cbb08316a704d8f3ba7f66dd385d49/error.php,0,1,0,0,0,2,0,1,1,0,0,0,0,1
https,bitrack.bin1link.cc,/click.php,0,1,0,0,0,2,0,1,2,0,0,2,0,1
http,solanartt.org,,0,0,0,0,0,0,0,1,1,0,0,0,0,1
https,www.top-dump-truck-blog.com,/survey/37792/source=49-/subid=49/nrp=743e423573b64983998d6640347fd130,0,1,0,0,1,0,0,2,2,0,0,0,0,1
https,pokemoney.info,/,0,0,0,0,0,0,0,2,0,0,0,0,0,1
https,cloudservers-ee8c0.web.app,/,0,0,0,0,1,0,0,1,1,0,0,0,0,1
https,aiu.kdda.imhedhj.cn,/,0,0,0,0,0,2,0,1,1,0,0,0,0,1
https,docs.google.com,/forms/d/e/1FAIpQLSfeOy_w3JWkKZ8PSGsw4NrJA9tmG2lx0x0NvTmv38K0hJzzMQ/viewform,0,1,0,0,0,0,0,0,2,0,0,2,0,1
https,debuil.xyz,/geo/ie/eur/register/5/index.php,0,0,0,0,0,0,0,1,1,0,1,0,0,1
https,www.interbanlkhomeperu.bncso.com,,0,0,0,0,0,2,0,1,2,0,1,2,0,1
https,docs.google.com,/forms/d/e/1FAIpQLSc4BagZJZmsTbNJHy7ZpY5zSx-XrN7rEoOUOLv54Luk5tIhHA/viewform,0,1,0,0,0,0,0,0,2,0,0,0,0,1
https,shiny-sound-a24a.rcvrysrvce.workers.dev,/,0,0,0,0,1,2,0,1,1,0,0,0,0,1
https,forms.monday.com,/forms/5ed641e5cabd481304386f35b9120276/,0,2,0,0,0,0,0,0,2,0,0,2,0,1
https,sites.google.com,/view/abuse-privacy/,0,0,0,0,0,0,0,0,2,0,0,2,0,1
http,credcloud-object-storage-o9-cos-static-web-hocsd3d.pages.dev,/,0,2,0,0,1,0,0,1,0,0,0,0,0,1
https,docs.google.com,/forms/d/e/1FAIpQLScdcT8MUe2Qq3syjR4TNntoL30jfdk8vWpCo6yjh7DxnQ5nYg/viewform,0,1,0,0,0,0,0,0,2,0,0,0,0,1
https,cofinaowcs.firebaseapp.com,/,0,0,0,0,0,0,0,1,1,1,0,1,0,1
https,sites.google.com,/view/serv-ob-securite/accueil,0,2,0,0,0,0,0,0,2,0,0,0,0,1
http,redeem-microsoft-code.sitey.me,,0,0,0,0,1,0,0,0,1,0,0,0,0,1
https,kyleosburn.com,/,0,0,0,0,0,0,0,2,1,0,0,0,0,1
https,www.orabu.it,/,0,0,0,0,0,0,0,1,1,0,0,0,0,1
